Broj tečajnice,Datum primjene,Država,Šifra valute,Valuta,Kupovni za devize,Srednji za devize,Prodajni za devize
256,01.01.2024,SAD,840,USD,"1,1067","1,1050","1,1033"
256,02.01.2024,SAD,840,USD,"1,1067","1,1050","1,1033"
1,03.01.2024,SAD,840,USD,"1,0972","1,0956","1,0940"
2,04.01.2024,SAD,840,USD,"1,0935","1,0919","1,0903"
3,05.01.2024,SAD,840,USD,"1,0969","1,0953","1,0937"
4,06.01.2024,SAD,840,USD,"1,0937","1,0921","1,0905"
4,07.01.2024,SAD,840,USD,"1,0937","1,0921","1,0905"
4,08.01.2024,SAD,840,USD,"1,0937","1,0921","1,0905"
5,09.01.2024,SAD,840,USD,"1,0962","1,0946","1,0930"
6,10.01.2024,SAD,840,USD,"1,0956","1,0940","1,0924"
7,11.01.2024,SAD,840,USD,"1,0962","1,0946","1,0930"
8,12.01.2024,SAD,840,USD,"1,1003","1,0987","1,0971"
9,13.01.2024,SAD,840,USD,"1,0958","1,0942","1,0926"
9,14.01.2024,SAD,840,USD,"1,0958","1,0942","1,0926"
9,15.01.2024,SAD,840,USD,"1,0958","1,0942","1,0926"
10,16.01.2024,SAD,840,USD,"1,0961","1,0945","1,0929"
11,17.01.2024,SAD,840,USD,"1,0898","1,0882","1,0866"
12,18.01.2024,SAD,840,USD,"1,0893","1,0877","1,0861"
13,19.01.2024,SAD,840,USD,"1,0891","1,0875","1,0859"
14,20.01.2024,SAD,840,USD,"1,0903","1,0887","1,0871"
14,21.01.2024,SAD,840,USD,"1,0903","1,0887","1,0871"
14,22.01.2024,SAD,840,USD,"1,0903","1,0887","1,0871"
15,23.01.2024,SAD,840,USD,"1,0906","1,0890","1,0874"
16,24.01.2024,SAD,840,USD,"1,0888","1,0872","1,0856"
17,25.01.2024,SAD,840,USD,"1,0921","1,0905","1,0889"
18,26.01.2024,SAD,840,USD,"1,0909","1,0893","1,0877"
19,27.01.2024,SAD,840,USD,"1,0887","1,0871","1,0855"
19,28.01.2024,SAD,840,USD,"1,0887","1,0871","1,0855"
19,29.01.2024,SAD,840,USD,"1,0887","1,0871","1,0855"
20,30.01.2024,SAD,840,USD,"1,0839","1,0823","1,0807"
21,31.01.2024,SAD,840,USD,"1,0862","1,0846","1,0830"
22,01.02.2024,SAD,840,USD,"1,0853","1,0837","1,0821"
23,02.02.2024,SAD,840,USD,"1,0830","1,0814","1,0798"
24,03.02.2024,SAD,840,USD,"1,0899","1,0883","1,0867"
24,04.02.2024,SAD,840,USD,"1,0899","1,0883","1,0867"
24,05.02.2024,SAD,840,USD,"1,0899","1,0883","1,0867"
25,06.02.2024,SAD,840,USD,"1,0762","1,0746","1,0730"
26,07.02.2024,SAD,840,USD,"1,0759","1,0743","1,0727"
27,08.02.2024,SAD,840,USD,"1,0792","1,0776","1,0760"
28,09.02.2024,SAD,840,USD,"1,0774","1,0758","1,0742"
29,10.02.2024,SAD,840,USD,"1,0788","1,0772","1,0756"
29,11.02.2024,SAD,840,USD,"1,0788","1,0772","1,0756"
29,12.02.2024,SAD,840,USD,"1,0788","1,0772","1,0756"
30,13.02.2024,SAD,840,USD,"1,0789","1,0773","1,0757"
31,14.02.2024,SAD,840,USD,"1,0809","1,0793","1,0777"
32,15.02.2024,SAD,840,USD,"1,0729","1,0713","1,0697"
33,16.02.2024,SAD,840,USD,"1,0759","1,0743","1,0727"
34,17.02.2024,SAD,840,USD,"1,0784","1,0768","1,0752"
34,18.02.2024,SAD,840,USD,"1,0784","1,0768","1,0752"
34,19.02.2024,SAD,840,USD,"1,0784","1,0768","1,0752"
35,20.02.2024,SAD,840,USD,"1,0792","1,0776","1,0760"
36,21.02.2024,SAD,840,USD,"1,0818","1,0802","1,0786"
37,22.02.2024,SAD,840,USD,"1,0825","1,0809","1,0793"
38,23.02.2024,SAD,840,USD,"1,0860","1,0844","1,0828"
39,24.02.2024,SAD,840,USD,"1,0850","1,0834","1,0818"
39,25.02.2024,SAD,840,USD,"1,0850","1,0834","1,0818"
39,26.02.2024,SAD,840,USD,"1,0850","1,0834","1,0818"
40,27.02.2024,SAD,840,USD,"1,0868","1,0852","1,0836"
41,28.02.2024,SAD,840,USD,"1,0872","1,0856","1,0840"
42,29.02.2024,SAD,840,USD,"1,0824","1,0808","1,0792"
43,01.03.2024,SAD,840,USD,"1,0842","1,0826","1,0810"
44,02.03.2024,SAD,840,USD,"1,0829","1,0813","1,0797"
44,03.03.2024,SAD,840,USD,"1,0829","1,0813","1,0797"
44,04.03.2024,SAD,840,USD,"1,0829","1,0813","1,0797"
45,05.03.2024,SAD,840,USD,"1,0862","1,0846","1,0830"
46,06.03.2024,SAD,840,USD,"1,0865","1,0849","1,0833"
47,07.03.2024,SAD,840,USD,"1,0890","1,0874","1,0858"
48,08.03.2024,SAD,840,USD,"1,0911","1,0895","1,0879"
49,09.03.2024,SAD,840,USD,"1,0948","1,0932","1,0916"
49,10.03.2024,SAD,840,USD,"1,0948","1,0932","1,0916"
49,11.03.2024,SAD,840,USD,"1,0948","1,0932","1,0916"
50,12.03.2024,SAD,840,USD,"1,0942","1,0926","1,0910"
51,13.03.2024,SAD,840,USD,"1,0932","1,0916","1,0900"
52,14.03.2024,SAD,840,USD,"1,0955","1,0939","1,0923"
53,15.03.2024,SAD,840,USD,"1,0941","1,0925","1,0909"
54,16.03.2024,SAD,840,USD,"1,0908","1,0892","1,0876"
54,17.03.2024,SAD,840,USD,"1,0908","1,0892","1,0876"
54,18.03.2024,SAD,840,USD,"1,0908","1,0892","1,0876"
55,19.03.2024,SAD,840,USD,"1,0908","1,0892","1,0876"
56,20.03.2024,SAD,840,USD,"1,0870","1,0854","1,0838"
57,21.03.2024,SAD,840,USD,"1,0860","1,0844","1,0828"
58,22.03.2024,SAD,840,USD,"1,0923","1,0907","1,0891"
59,23.03.2024,SAD,840,USD,"1,0839","1,0823","1,0807"
59,24.03.2024,SAD,840,USD,"1,0839","1,0823","1,0807"
59,25.03.2024,SAD,840,USD,"1,0839","1,0823","1,0807"
60,26.03.2024,SAD,840,USD,"1,0851","1,0835","1,0819"
61,27.03.2024,SAD,840,USD,"1,0871","1,0855","1,0839"
62,28.03.2024,SAD,840,USD,"1,0832","1,0816","1,0800"
63,29.03.2024,SAD,840,USD,"1,0827","1,0811","1,0795"
63,30.03.2024,SAD,840,USD,"1,0827","1,0811","1,0795"
63,31.03.2024,SAD,840,USD,"1,0827","1,0811","1,0795"
63,01.04.2024,SAD,840,USD,"1,0827","1,0811","1,0795"
63,02.04.2024,SAD,840,USD,"1,0827","1,0811","1,0795"
64,03.04.2024,SAD,840,USD,"1,0765","1,0749","1,0733"
65,04.04.2024,SAD,840,USD,"1,0799","1,0783","1,0767"
66,05.04.2024,SAD,840,USD,"1,0868","1,0852","1,0836"
67,06.04.2024,SAD,840,USD,"1,0857","1,0841","1,0825"
67,07.04.2024,SAD,840,USD,"1,0857","1,0841","1,0825"
67,08.04.2024,SAD,840,USD,"1,0857","1,0841","1,0825"
68,09.04.2024,SAD,840,USD,"1,0839","1,0823","1,0807"
69,10.04.2024,SAD,840,USD,"1,0883","1,0867","1,0851"
70,11.04.2024,SAD,840,USD,"1,0876","1,0860","1,0844"
71,12.04.2024,SAD,840,USD,"1,0745","1,0729","1,0713"
72,13.04.2024,SAD,840,USD,"1,0668","1,0652","1,0636"
72,14.04.2024,SAD,840,USD,"1,0668","1,0652","1,0636"
72,15.04.2024,SAD,840,USD,"1,0668","1,0652","1,0636"
73,16.04.2024,SAD,840,USD,"1,0672","1,0656","1,0640"
74,17.04.2024,SAD,840,USD,"1,0653","1,0637","1,0621"
75,18.04.2024,SAD,840,USD,"1,0654","1,0638","1,0622"
76,19.04.2024,SAD,840,USD,"1,0695","1,0679","1,0663"
77,20.04.2024,SAD,840,USD,"1,0669","1,0653","1,0637"
77,21.04.2024,SAD,840,USD,"1,0669","1,0653","1,0637"
77,22.04.2024,SAD,840,USD,"1,0669","1,0653","1,0637"
78,23.04.2024,SAD,840,USD,"1,0648","1,0632","1,0616"
79,24.04.2024,SAD,840,USD,"1,0690","1,0674","1,0658"
80,25.04.2024,SAD,840,USD,"1,0702","1,0686","1,0670"
81,26.04.2024,SAD,840,USD,"1,0736","1,0720","1,0704"
82,27.04.2024,SAD,840,USD,"1,0730","1,0714","1,0698"
82,28.04.2024,SAD,840,USD,"1,0730","1,0714","1,0698"
82,29.04.2024,SAD,840,USD,"1,0730","1,0714","1,0698"
83,30.04.2024,SAD,840,USD,"1,0736","1,0720","1,0704"
84,01.05.2024,SAD,840,USD,"1,0734","1,0718","1,0702"
84,02.05.2024,SAD,840,USD,"1,0734","1,0718","1,0702"
85,03.05.2024,SAD,840,USD,"1,0714","1,0698","1,0682"
86,04.05.2024,SAD,840,USD,"1,0760","1,0744","1,0728"
86,05.05.2024,SAD,840,USD,"1,0760","1,0744","1,0728"
86,06.05.2024,SAD,840,USD,"1,0760","1,0744","1,0728"
87,07.05.2024,SAD,840,USD,"1,0792","1,0776","1,0760"
88,08.05.2024,SAD,840,USD,"1,0782","1,0766","1,0750"
89,09.05.2024,SAD,840,USD,"1,0759","1,0743","1,0727"
90,10.05.2024,SAD,840,USD,"1,0748","1,0732","1,0716"
91,11.05.2024,SAD,840,USD,"1,0795","1,0779","1,0763"
91,12.05.2024,SAD,840,USD,"1,0795","1,0779","1,0763"
91,13.05.2024,SAD,840,USD,"1,0795","1,0779","1,0763"
92,14.05.2024,SAD,840,USD,"1,0811","1,0795","1,0779"
93,15.05.2024,SAD,840,USD,"1,0812","1,0796","1,0780"
94,16.05.2024,SAD,840,USD,"1,0848","1,0832","1,0816"
95,17.05.2024,SAD,840,USD,"1,0882","1,0866","1,0850"
96,18.05.2024,SAD,840,USD,"1,0860","1,0844","1,0828"
96,19.05.2024,SAD,840,USD,"1,0860","1,0844","1,0828"
96,20.05.2024,SAD,840,USD,"1,0860","1,0844","1,0828"
97,21.05.2024,SAD,840,USD,"1,0877","1,0861","1,0845"
98,22.05.2024,SAD,840,USD,"1,0880","1,0864","1,0848"
99,23.05.2024,SAD,840,USD,"1,0846","1,0830","1,0814"
100,24.05.2024,SAD,840,USD,"1,0870","1,0854","1,0838"
101,25.05.2024,SAD,840,USD,"1,0856","1,0840","1,0824"
101,26.05.2024,SAD,840,USD,"1,0856","1,0840","1,0824"
101,27.05.2024,SAD,840,USD,"1,0856","1,0840","1,0824"
102,28.05.2024,SAD,840,USD,"1,0859","1,0843","1,0827"
103,29.05.2024,SAD,840,USD,"1,0898","1,0882","1,0866"
104,30.05.2024,SAD,840,USD,"1,0873","1,0857","1,0841"
105,31.05.2024,SAD,840,USD,"1,0831","1,0815","1,0799"
106,01.06.2024,SAD,840,USD,"1,0868","1,0852","1,0836"
106,02.06.2024,SAD,840,USD,"1,0868","1,0852","1,0836"
106,03.06.2024,SAD,840,USD,"1,0868","1,0852","1,0836"
107,04.06.2024,SAD,840,USD,"1,0858","1,0842","1,0826"
108,05.06.2024,SAD,840,USD,"1,0881","1,0865","1,0849"
109,06.06.2024,SAD,840,USD,"1,0888","1,0872","1,0856"
110,07.06.2024,SAD,840,USD,"1,0881","1,0865","1,0849"
111,08.06.2024,SAD,840,USD,"1,0914","1,0898","1,0882"
111,09.06.2024,SAD,840,USD,"1,0914","1,0898","1,0882"
111,10.06.2024,SAD,840,USD,"1,0914","1,0898","1,0882"
112,11.06.2024,SAD,840,USD,"1,0772","1,0756","1,0740"
113,12.06.2024,SAD,840,USD,"1,0746","1,0730","1,0714"
114,13.06.2024,SAD,840,USD,"1,0781","1,0765","1,0749"
115,14.06.2024,SAD,840,USD,"1,0800","1,0784","1,0768"
116,15.06.2024,SAD,840,USD,"1,0702","1,0686","1,0670"
116,16.06.2024,SAD,840,USD,"1,0702","1,0686","1,0670"
116,17.06.2024,SAD,840,USD,"1,0702","1,0686","1,0670"
117,18.06.2024,SAD,840,USD,"1,0728","1,0712","1,0696"
118,19.06.2024,SAD,840,USD,"1,0731","1,0715","1,0699"
119,20.06.2024,SAD,840,USD,"1,0765","1,0749","1,0733"
120,21.06.2024,SAD,840,USD,"1,0735","1,0719","1,0703"
121,22.06.2024,SAD,840,USD,"1,0704","1,0688","1,0672"
121,23.06.2024,SAD,840,USD,"1,0704","1,0688","1,0672"
121,24.06.2024,SAD,840,USD,"1,0704","1,0688","1,0672"
122,25.06.2024,SAD,840,USD,"1,0746","1,0730","1,0714"
123,26.06.2024,SAD,840,USD,"1,0730","1,0714","1,0698"
124,27.06.2024,SAD,840,USD,"1,0705","1,0689","1,0673"
125,28.06.2024,SAD,840,USD,"1,0712","1,0696","1,0680"
